id,Name,Visitor Institution,Post Date,Host,Content,Permalink,Unix Start Date,Unix End Date,Academic Year (as defined on website backend = FY-1),Programs,International,Host Type
8879,Kevin Crowston,Syracuse University,10/31/2023,,,https://ciera.northwestern.edu/visits/kevin-crowston-6/,1695945600,1696118340,2023,gravityspy,0,Astro Faculty
8880,Corey Jackson,"University of Wisconsin, Madison",10/31/2023,,,https://ciera.northwestern.edu/visits/corey-jackson-4/,1695945600,1696118340,2023,gravityspy,0,Astro Faculty
8881,Derek Davis,California Institute of Technology,10/31/2023,,,https://ciera.northwestern.edu/visits/derek-davis-4/,1695945600,1696118340,2023,gravityspy,0,Astro Faculty
8883,Alexander Owen Smith,Syracuse University,10/31/2023,,,https://ciera.northwestern.edu/visits/alexander-owen-smith/,1695945600,1696118340,2023,gravityspy,0,Astro Faculty
8885,Marlene Takou-Ayaoh,Syracuse University,10/31/2023,,,https://ciera.northwestern.edu/visits/marlene-takou-ayaoh-2/,1695945600,1696118340,2023,gravityspy,0,Astro Faculty
8886,Carsten Oesterlund,Syracuse University,10/31/2023,,,https://ciera.northwestern.edu/visits/carsten-oesterlund-4/,1695945600,1696118340,2023,gravityspy,0,Grad Student
8888,Mike Zevin,Adler Planetarium,10/31/2023,,,https://ciera.northwestern.edu/visits/mike-zevin-4/,1695945600,1696118340,2023,gravityspy,0,Astro Faculty
8889,Ryan Fisher,Christopher Newport University,10/31/2023,,,https://ciera.northwestern.edu/visits/ryan-fisher/,1695945600,1696118340,2023,gravityspy,0,Astro Faculty
8891,Sean McEachin,Christopher Newport University,10/31/2023,,,https://ciera.northwestern.edu/visits/sean-mceachin/,1695945600,1696118340,2023,gravityspy,0,Astro Faculty
8755,Samantha Wu,Caltech,10/10/2023,,,https://ciera.northwestern.edu/visits/samantha-wu/,1695859200,1696031940,2023,theory-group-meetings,0,Postdoc
8726,Chris Hamilton,Institute for Advanced Study ,10/9/2023,Allison Strom,,https://ciera.northwestern.edu/visits/chris-hamilton/,1695686400,1695772740,2023,astrophysics-seminars,1,Astro Faculty
8538,Travis Rector,"University of Alaska, Anchorage",8/10/2023,Allison Strom,,https://ciera.northwestern.edu/visits/travis-rector/,1694995200,1694995200,2023,,0,Astro Faculty
8542,Christopher Irwin,University Of Tokyo,8/10/2023,Giacomo Fragione,,https://ciera.northwestern.edu/visits/christopher-irwin-2/,1694390400,1694736000,2023,special-astronomy-seminars,1,Astro Faculty
8551,Shivani Bhandari,ASTRON,8/10/2023,Tarraneh Eftekhari,,https://ciera.northwestern.edu/visits/shivani-bhandari/,1693872000,1694131200,2023,special-astronomy-seminars,1,Postdoc
8547,Debatri Chattopadhyay,Cardiff University,8/10/2023,Sharan Banagiri,,https://ciera.northwestern.edu/visits/debatri-chattopadhyay/,1693872000,1693872000,2023,special-astronomy-seminars,1,Astro Faculty
7683,Peter Nugent,Lawrence Berkeley National Laboratory,10/30/2022,Adam Miller,,https://ciera.northwestern.edu/visits/peter-nugent-3/,1661990400,1693440000,2022,,0,Astro Faculty
8549,Lucy McNeill,Kyoto University,8/10/2023,Camille Liotine,,https://ciera.northwestern.edu/visits/lucy-mcneill-2/,1692316800,1692316800,2023,,1,Postdoc
8794,Chris Lintott,University of Oxford,10/23/2023,Zooniverse ,,https://ciera.northwestern.edu/visits/chris-lintott/,1691971200,1692143940,2023,,1,
8796,Mary Westwood,University of Oxford,10/23/2023,Zooniverse ,,https://ciera.northwestern.edu/visits/mary-westwood/,1691971200,1692143940,2023,,1,
8800,Brooke Simmons,Lancaster University,10/23/2023,Zooniverse ,,https://ciera.northwestern.edu/visits/brooke-simmons/,1691971200,1692143940,2023,,1,
8802,Coleman Krawczyk,University of Portsmouth,10/23/2023,Zooniverse,t,https://ciera.northwestern.edu/visits/coleman-krawczyk/,1691971200,1692143940,2023,,0,
8804,Adam McMaster,Open University,10/23/2023,Zooniverse ,,https://ciera.northwestern.edu/visits/adam-mcmaster/,1691971200,1692143940,2023,,1,
8806,Lucy Fortson,University of Minnesota,10/23/2023,Zooniverse ,,https://ciera.northwestern.edu/visits/lucy-fortson-2/,1691971200,1692143940,2023,,0,
8808,Hayley Roberts,University of Minnesota,10/23/2023,Zooniverse ,,https://ciera.northwestern.edu/visits/hayley-roberts/,1691971200,1692143940,2023,,0,
8810,Sarah Huebner,University of Minnesota,10/23/2023,Zooniverse ,,https://ciera.northwestern.edu/visits/sarah-huebner/,1691971200,1692143940,2023,,0,
8812,Kameswara Mantha,University of Minnesota,10/23/2023,Zooniverse ,,https://ciera.northwestern.edu/visits/kameswara-mantha/,1691971200,1692143940,2023,,0,Astro Faculty
8814,Ramana Sankar,University of Minnesota,10/23/2023,Zooniverse ,,https://ciera.northwestern.edu/visits/ramana-sankar/,1691971200,1692143940,2023,,0,Astro Faculty
8816,Laura Trouille,Adler Planetarium/Zooniverse,10/23/2023,Zooniverse ,,https://ciera.northwestern.edu/visits/laura-trouille-5/,1691971200,1692143940,2023,,0,Astro Faculty
8818,Mark Bouslog,Adler Planetarium/Zooniverse,10/23/2023,Zooniverse ,,https://ciera.northwestern.edu/visits/mark-bouslog/,1691971200,1692143940,2023,,0,Astro Faculty
8820,Sam Blickhan,Adler Planetarium/Zooniverse,10/23/2023,Zooniverse ,,https://ciera.northwestern.edu/visits/sam-blickhan/,1691971200,1692143940,2023,,0,Other Faculty
8830,Delilah Clement,Adler Planetarium,10/24/2023,Zooniverse ,,https://ciera.northwestern.edu/visits/delilah-clement/,1691971200,1692143940,2023,,0,
8832,Michelle Yuen,Adler Planetarium/Zooniverse,10/24/2023,Zooniverse ,,https://ciera.northwestern.edu/visits/michelle-yuen/,1691971200,1692143940,2023,,0,Astro Faculty
8834,Sean Miller,Adler Planetarium/Zooniverse,10/24/2023,Zooniverse ,,https://ciera.northwestern.edu/visits/sean-miller/,1691971200,1692143940,2023,,0,Grad Student
8836,Keanu Glover,Adler Planetarium/Zooniverse,10/24/2023,Zooniverse ,,https://ciera.northwestern.edu/visits/keanu-glover/,1691971200,1692143940,2023,,0,Postdoc
8838,Mike Zevin,Adler Planetarium,10/24/2023,Zooniverse,,https://ciera.northwestern.edu/visits/mike-zevin-3/,1691971200,1692143940,2023,,0,Postdoc
8839,Meredith Stepien,Adler Planetarium,10/24/2023,Zooniverse ,,https://ciera.northwestern.edu/visits/meredith-stepien/,1691971200,1692143940,2023,,0,Grad Student
8841,Jim O'Donnell,University of Oxford,10/24/2023,Zooniverse ,,https://ciera.northwestern.edu/visits/jim-odonnell/,1691971200,1692143940,2023,,1,Astro Faculty
8843,Travis Kiefer,University of Minnesota,10/24/2023,Zooniverse ,,https://ciera.northwestern.edu/visits/travis-kiefer/,1691971200,1692143940,2023,,0,Postdoc
8845,Zach Wolfenbarger,Adler Planetarium,10/24/2023,Zooniverse ,,https://ciera.northwestern.edu/visits/zach-wolfenbarger/,1691971200,1692143940,2023,,0,Astro Faculty
8545,Sashwat Tanay,University of Mississippi,8/10/2023,Vishal Baibhav,,https://ciera.northwestern.edu/visits/sashwat-tanay/,1690329600,1690416000,2023,special-astronomy-seminars,0,
8543,Quynh Lan Nguyen,University of Notre Dame,8/10/2023,Zoheyr Doctor,,https://ciera.northwestern.edu/visits/quynh-lan-nguyen/,1690329600,1690329600,2023,,0,
8461,Kerry Paterson,Max Plank Institute for Astronomy,1/1/1970,Genevieve Schroeder,,https://ciera.northwestern.edu/?post_type=ciera_visit&p=8461,1688947200,1689379140,2023,special-astronomy-seminars,1,
8537,Kerry Paterson,Max Plank Institute for Astronomy,8/10/2023,Wen-Fai Fong,,https://ciera.northwestern.edu/visits/kerry-paterson/,1688947200,1689206400,2023,special-astronomy-seminars,1,
8534,Dave Coulter,"University of California, Santa Cruz",8/10/2023,Charlie Kilpatrick,,https://ciera.northwestern.edu/visits/dave-coulter/,1687478400,1688083200,2023,,0,
8536,Daniel DeFelippis,University of Paris-Saclay,8/10/2023,Claude-Andr� Faucher-Gigu�re,,https://ciera.northwestern.edu/visits/daniel-defelippis/,1688083200,1688083200,2023,,1,
8313,Dillon Dong,National Radio Astronomy Observatory,5/18/2023,Genevieve Schroeder,,https://ciera.northwestern.edu/visits/dillon-dong/,1687478400,1687564740,2023,,0,
8382,Chris (Yuan Qi) Ni,University of Toronto ,6/6/2023,Kyle Rocha ,,https://ciera.northwestern.edu/visits/chris-yuan-qi-ni/,1687478400,1687564740,2023,special-astronomy-seminars,1,
8533,Bindesh Tripathi,"University of Wisconsin, Madison",8/10/2023,Daniel Lecoanet,,https://ciera.northwestern.edu/visits/bindesh-tripathi/,1686182400,1686355140,2023,,0,
7671,Enrico Ramirez-Ruiz,"University of California, Santa Cruz",10/25/2022,Giacomo Fragione,,https://ciera.northwestern.edu/visits/enrico-ramirez-ruiz-6/,1685404800,1685491140,2023,astrophysics-seminars,0,
8282,Zhuyun Zhuang,California Institute of Technology,5/3/2023,Allison Strom,,https://ciera.northwestern.edu/visits/zhuyun-zhuang/,1684108800,1684799940,2023,observational-astronomy-meetings,0,
8302,Harry Kraemer,Kellogg School of Management,5/15/2023,,,https://ciera.northwestern.edu/visits/harry-kraemer/,1684713600,1684799940,2023,ciera-connections,1,
8221,Janosz Dewberry,CITA,4/19/2023,Zoheyr Doctor,,https://ciera.northwestern.edu/visits/janosz-dewberry-3/,1684108800,1684454340,2023,special-astronomy-seminars,1,
8291,Mia de los Reyes,Standford,5/10/2023,Zoheyr Doctor,,https://ciera.northwestern.edu/visits/mia-de-los-reyes-3/,1684108800,1684454340,2022,observational-astronomy-meetings,1,
8099,Nia Imara,"University of California, Santa Cruz",3/3/2023,Vicky Kalogera,,https://ciera.northwestern.edu/visits/nia-imara-2/,1684368000,1684454340,2023,interdisciplinary-colloquia,0,
7541,Misty C. Bentz,Georgia State University,9/23/2022,Giacomo Fragione,,https://ciera.northwestern.edu/visits/misty-c-bentz/,1684195200,1684281540,2023,astrophysics-seminars,0,
8191,Paul Draghis,University of Michigan,4/17/2023,Zoheyr Doctor,,https://ciera.northwestern.edu/visits/paul-draghis/,1683676800,1684022340,2023,theory-group-meetings,0,
7540,Tamara Bogdanovic,Georgia Institute of Technology,9/23/2022,Giacomo Fragione,,https://ciera.northwestern.edu/visits/tamara-bogdanovic-2/,1683590400,1683676740,2023,astrophysics-seminars,0,
8284,Jordy Daveelar,Columbia University / Flatiron Institute,5/3/2023,Sasha Tchekhovskoy,,https://ciera.northwestern.edu/visits/jordy-daveelar/,1682899200,1683331140,2023,theory-group-meetings,0,
8286,Sophie Koudmani,Flatiron Institute,5/3/2023,Sasha Tchekhovskoy,,https://ciera.northwestern.edu/visits/sophie-koudmani/,1682899200,1683331140,2023,theory-group-meetings,0,
7539,Kaitlin Kratter,University of Arizona,9/23/2022,Giacomo Fragione,,https://ciera.northwestern.edu/visits/kaitlin-kratter-2/,1682985600,1683071940,2023,astrophysics-seminars,0,
8220,Mike Zevin,University of Chicago,4/19/2023,Zoheyr Doctor,,https://ciera.northwestern.edu/visits/mike-zevin/,1682380800,1682553540,2023,,0,
7538,Brian Metzger,Columbia University,9/23/2022,Giacomo Fragione,,https://ciera.northwestern.edu/visits/brian-metzger-2/,1682380800,1682467140,2023,astrophysics-seminars,0,
8195,Vladimir Strokov,Johns Hopkins University,4/17/2023,Giacomo Fragione,,https://ciera.northwestern.edu/visits/vladimir-strokov-2/,1681776000,1682121540,2023,theory-group-meetings,0,Postdoc
8242,Lev Arzamasskiy,Institute for Advanced Study,4/24/2023,Sasha Tchekhovskoy,,https://ciera.northwestern.edu/visits/lev-arzamasskiy/,1682035200,1682121540,2023,,0,
8114,Shrobana Ghosh,Albert Einstein Institute,3/21/2023,Vishal Baibhav,,https://ciera.northwestern.edu/visits/shrobana-ghosh/,1679011200,1681948800,2023,,1,Astro Faculty
7536,Amy Reines,Montana State University,9/23/2022,Giacomo Fragione,,https://ciera.northwestern.edu/visits/amy-reines-2/,1681776000,1681862340,2023,astrophysics-seminars,0,
8193,Haocheng Zhang,NASA Goddard,4/17/2023,Sasha Tchekhovskoy,,https://ciera.northwestern.edu/visits/haocheng-zhang/,1681257600,1681603140,2023,theory-group-meetings,0,Astro Faculty
8107,Christopher Berry,University of Glasgow,3/21/2023,Zoheyr Doctor,,https://ciera.northwestern.edu/visits/christopher-berry/,1678838400,1681430400,2023,theory-group-meetings,1,Postdoc
